acqMode,acqName,acqfromDt,acqtoDt,afterAcqSharesNo,afterAcqSharesPer,befAcqSharesNo,befAcqSharesPer,company,date,intimDt,personCategory,secAcq,secType,secVal,securitiesTypePost,symbol,tdpTransactionType
Market Sale,Bajaj Auto Holdings Limited,2026-04-27,2026-04-27,Nil,0,2090050,0.13,Bajaj Finserv Limited,2026-04-30,2026-04-29,Promoter Group,2090050,Equity Shares,3700779428,Equity Shares,BAJAJFINSV,Sell
Market Purchase,Bajaj Holdings & Investment Limited,2026-04-27,2026-04-27,614832190,38.41,612742140,38.28,Bajaj Finserv Limited,2026-04-30,2026-04-29,Promoters,2090050,Equity Shares,3700224520,Equity Shares,BAJAJFINSV,Buy
Market Sale,Vama Sundari Investments (Delhi) Private Limited,2026-04-28,2026-04-29,1199950079,44.22,1199766406,44.21,HCL Technologies Limited,2026-04-30,2026-04-30,Promoters,183673,Equity Shares,220277165,Equity Shares,HCLTECH,Buy
Market Sale,Vama Sundari Investments (Delhi) Private Limited,2026-04-24,2026-04-24,1199766406,44.21,1199665350,44.21,HCL Technologies Limited,2026-04-30,2026-04-28,Promoters,101056,Equity Shares,122655032,Equity Shares,HCLTECH,Buy
Market Sale,Satya Murthy Sivalenka,2026-04-29,2026-04-29,32651000,54.83,34299000,57.59,Sameera Agro And Infra Limited,2026-04-30,2026-04-30,Promoters,1648000,Equity Shares,14008000,Equity Shares,SAIFL,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-29,2026-04-29,1303250,11.72,1307250,11.76,Parin Enterprises Limited,2026-04-30,2026-04-30,Promoter Group,4000,Equity Shares,2488000,Equity Shares,PARIN,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-28,2026-04-28,1307250,11.76,1312000,11.8,Parin Enterprises Limited,2026-04-30,2026-04-30,Promoter Group,4750,Equity Shares,2951033,Equity Shares,PARIN,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-27,2026-04-27,1312000,11.8,1323250,11.9,Parin Enterprises Limited,2026-04-30,2026-04-29,Promoter Group,11250,Equity Shares,6993788,Equity Shares,PARIN,Sell
Market Sale,Satya Murthy Sivalenka,2026-04-28,2026-04-28,34299000,57.59,35027000,58.82,Sameera Agro And Infra Limited,2026-04-29,2026-04-29,Promoters,728000,Equity Shares,6188000,Equity Shares,SAIFL,Sell
Market Sale,Kinex India Private Limited,2026-03-30,2026-03-30,200478565,65.82,205578565,67.5,Bartronics India Limited,2026-04-28,2026-04-01,Promoters,5100000,Equity Shares,35718620,Equity Shares,ASMS,Sell
Market Sale,Kinex India Private Limited,2026-03-25,2026-03-25,205578565,67.5,206596947,67.83,Bartronics India Limited,2026-04-28,2026-03-26,Promoters,1018382,Equity Shares,8098807,Equity Shares,ASMS,Sell
Market Sale,KURJIBHAI PREMJIBHAI RUPARELIYA,2026-04-24,2026-04-24,136815762,53.92,148002746,58.33,Aqylon Nexus Limited,2026-04-27,2026-04-25,Promoters,11186984,Equity Shares,571431143,Equity Shares,AQYLON,Sell
Market Sale,Satya Murthy Sivalenka,2026-04-22,2026-04-23,3779000,6.34,5380000,9.03,Sameera Agro And Infra Limited,2026-04-25,2026-04-25,Promoters,1601000,Equity Shares,15369600,Equity Shares,SAIFL,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-24,2026-04-24,1323250,11.9,1332250,11.98,Parin Enterprises Limited,2026-04-25,2026-04-25,Promoter Group,9000,Equity Shares,5630670,Equity Shares,PARIN,Sell
Market Purchase,Vasrsha Biswajit Adhikari,2026-03-20,2026-03-20,10000,0,Nil,0,Mangalam Global Enterprise Limited,2026-04-24,2026-04-22,Director,10000,Equity Shares,104400,Equity Shares,MGEL,Buy
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-22,2026-04-22,1340500,12.05,1354500,12.18,Parin Enterprises Limited,2026-04-24,2026-04-24,Promoter Group,14000,Equity Shares,8458940,Equity Shares,PARIN,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-23,2026-04-23,1332250,11.98,1340500,12.05,Parin Enterprises Limited,2026-04-24,2026-04-24,Promoter Group,8250,Equity Shares,5042730,Equity Shares,PARIN,Sell
Market Sale,Satya Murthy Sivalenka,2026-04-21,2026-04-22,5380000,9.03,5648000,9.48,Sameera Agro And Infra Limited,2026-04-22,2026-04-22,Promoters,268000,Equity Shares,2650520,Equity Shares,SAIFL,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-20,2026-04-20,1363500,12.26,1372000,12.34,Parin Enterprises Limited,2026-04-22,2026-04-21,Promoter Group,8500,Equity Shares,5100000,Equity Shares,PARIN,Sell
Market Sale,P.P. FURNITURE  PRIVATE LIMITED,2026-04-21,2026-04-21,1354500,12.18,1363500,12.26,Parin Enterprises Limited,2026-04-22,2026-04-22,Promoter Group,9000,Equity Shares,5481000,Equity Shares,PARIN,Sell
Market Sale,Satya Murthy Sivalenka,2026-04-15,2026-04-20,5648000,9.48,7216000,11.6,Sameera Agro And Infra Limited,2026-04-21,2026-04-20,Promoters,1568000,Equity Shares,16746240,Equity Shares,SAIFL,Sell
Market Purchase,Mayank Ghota,2026-03-02,2026-03-02,1223,0.01,1009,0,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,214,Equity Shares,248856,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-04,2026-03-04,1248,0.01,1223,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,25,Equity Shares,27332,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-05,2026-03-05,1268,0.01,1248,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,20,Equity Shares,21900,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-10,2026-03-10,1611,0.01,1561,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,50,Equity Shares,50199,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-12,2026-03-12,1661,0.01,1611,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,50,Equity Shares,50494,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-13,2026-03-13,1759,0.01,1661,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,98,Equity Shares,96060,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-16,2026-03-16,1859,0.01,1759,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,100,Equity Shares,96800,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-02-04,2026-02-25,1009,0,Nil,0,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,1009,Equity Shares,1240101,Equity Shares,DPABHUSHAN,Buy
Market Purchase,Mayank Ghota,2026-03-06,2026-03-06,1561,0.01,1268,0.01,D. P. Abhushan Limited,2026-04-20,2026-04-16,Promoter Group,293,Equity Shares,300637,Equity Shares,DPABHUSHAN,Buy
Market Sale,ZULFIQAR AHMAD QURASHI,2026-04-09,2026-04-10,85164001,17.01,92305001,18.43,Hma Agro Industries Limited,2026-04-14,2026-04-13,Promoters,7141000,Equity Shares,128538000,Equity Shares,HMAAGRO,Sell
Market Sale,MOHAMMAD ASHRAF QURESHI,2026-04-09,2026-04-10,85164001,17.01,92305001,18.43,Hma Agro Industries Limited,2026-04-14,2026-04-13,Promoters,7141000,Equity Shares,128538000,Equity Shares,HMAAGRO,Sell
Market Sale,MOHAMMAD MEHMOOD QURESHI,2026-04-09,2026-04-10,85164001,17.01,92305001,18.43,Hma Agro Industries Limited,2026-04-14,2026-04-13,Promoters,7141000,Equity Shares,128538000,Equity Shares,HMAAGRO,Sell
Market Sale,GULZAR AHMAD,2026-04-09,2026-04-10,60897987,12.16,65154530,13.01,Hma Agro Industries Limited,2026-04-14,2026-04-13,Promoters,4256543,Equity Shares,76617774,Equity Shares,HMAAGRO,Sell
Market Sale,WAJID AHMED,2026-04-09,2026-04-10,42575347,8.5,50076977,10,Hma Agro Industries Limited,2026-04-14,2026-04-13,Promoters,7501630,Equity Shares,135029340,Equity Shares,HMAAGRO,Sell
Market Sale,Mukunda Raghavendra,2026-01-19,2026-03-16,642062,1.79,706562,1.98,Newjaisa Technologies Limited,2026-04-13,2026-04-10,Promoters,64500,Equity Shares,1073920,Equity Shares,NEWJAISA,Sell
Market Purchase,Mukesh Sangla,2026-03-25,2026-03-30,1169885,3.97,1125142,3.82,Signet Industries Limited,2026-04-13,2026-03-30,Director,44743,Equity Shares,1994951,Equity Shares,SIGIND,Buy
Market Purchase,Mukesh Sangla,2026-03-23,2026-03-23,1125142,3.82,1123432,3.82,Signet Industries Limited,2026-04-13,2026-03-25,Director,1710,Equity Shares,71632,Equity Shares,SIGIND,Buy
Market Sale,Nilesh Babubhai Detroja,2026-03-05,2026-03-05,877276,4.22,925878,4.45,Lexus Granito (India) Limited,2026-04-11,2026-04-11,Promoters,48602,Equity Shares,1885757,Equity Shares,LEXUS,Sell
Market Sale,Nilesh Babubhai Detroja,2026-02-23,2026-02-23,925878,4.52,964511,4.71,Lexus Granito (India) Limited,2026-04-11,2026-04-11,Promoters,38633,Equity Shares,1487370,Equity Shares,LEXUS,Sell
Market Sale,Dhirendra Gautamkumar Chopra,2026-03-24,2026-03-24,10000474,5.65,16390866,9.26,Osia Hyper Retail Limited,2026-04-10,2026-04-06,Promoters,6390392,Equity Shares,28884571,Equity Shares,OSIAHYPER,Sell
Market Sale,Kavita Dhirendrakumar Chopra,2026-03-24,2026-03-24,36330843,20.53,38830843,21.94,Osia Hyper Retail Limited,2026-04-10,2026-04-06,Promoters,2500000,Equity Shares,11300000,Equity Shares,OSIAHYPER,Sell
Market Sale,CHARANJIT SINGH,2026-02-23,2026-02-23,599860,2.86,608060,2.9,TAC Infosec Limited,2026-04-10,2026-04-10,Promoters,8200,Equity Shares,4273355,Equity Shares,TAC,Sell
Market Sale,CHARANJIT SINGH,2026-02-24,2026-02-24,586660,2.8,599860,2.86,TAC Infosec Limited,2026-04-10,2026-04-10,Promoters,13200,Equity Shares,5497209,Equity Shares,TAC,Sell
Market Purchase,CHARANJIT SINGH,2026-02-25,2026-02-25,591660,2.82,586660,2.8,TAC Infosec Limited,2026-04-10,2026-04-10,Promoters,5000,Equity Shares,2328050,Equity Shares,TAC,Buy
Market Purchase,CHARANJIT SINGH,2026-02-24,2026-02-24,601660,2.84,591660,2.82,TAC Infosec Limited,2026-04-10,2026-04-10,Promoters,10000,Equity Shares,4534390,Equity Shares,TAC,Buy
Market Sale,CHARANJIT SINGH,2026-02-20,2026-02-20,583260,2.8,611660,2.92,TAC Infosec Limited,2026-04-10,2026-04-10,Promoters,28400,Equity Shares,12939714,Equity Shares,TAC,Sell
Market Purchase,CHARANJIT SINGH,2026-02-26,2026-02-26,606860,2.9,586860,2.8,TAC Infosec Limited,2026-04-10,2026-04-10,Promoters,20000,Equity Shares,7905546,Equity Shares,TAC,Buy
Market Purchase,CHARANJIT SINGH,2026-02-27,2026-02-27,611660,2.92,606860,2.9,TAC Infosec Limited,2026-04-10,2026-04-10,Promoters,4800,Equity Shares,1848877,Equity Shares,TAC,Buy
Market Sale,CHARANJIT SINGH,2026-02-24,2026-02-24,543660,2.59,611660,2.92,TAC Infosec Limited,2026-04-10,2026-04-10,Promoters,68000,Equity Shares,28592953,Equity Shares,TAC,Sell
Market Purchase,CHARANJIT SINGH,2026-02-24,2026-02-24,611660,2.92,543660,2.59,TAC Infosec Limited,2026-04-10,2026-04-10,Promoters,68000,Equity Shares,28522573,Equity Shares,TAC,Buy
Market Sale,CHARANJIT SINGH,2026-02-20,2026-02-20,608060,2.9,611660,2.92,TAC Infosec Limited,2026-04-10,2026-04-10,Promoters,3600,Equity Shares,1845487,Equity Shares,TAC,Sell
Market Purchase,Gyan Enterprises Private limited,2026-03-27,2026-03-27,1327000,0.4,Nil,0,Religare Enterprises Limited,2026-04-04,2026-04-01,Promoter Group,1327000,Equity Shares,297893055,Equity Shares,RELIGARE,Buy
Market Purchase,Kachardas Ratanchand Bedmutha,2026-03-29,2026-03-30,2343553,7.26,2341973,7.26,Bedmutha Industries Limited,2026-04-03,2026-04-01,Promoters,1580,Equity Shares,161000,Equity Shares,BEDMUTHA,Buy
Market Purchase,Kamalabai Kachardas Bedmutha,2026-03-30,2026-03-30,1289016,4,1277313,3.96,Bedmutha Industries Limited,2026-04-03,2026-04-01,Promoter Group,11703,Equity Shares,1194000,Equity Shares,BEDMUTHA,Buy
Market Purchase,MADHAV DOSHI,2026-03-30,2026-03-30,1143749,12.79,1123449,12.56,Madhav Marbles and Granites Limited,2026-04-03,2026-04-01,Director,20300,Equity Shares,627713,Equity Shares,MADHAV,Buy
Market Purchase,RISHIL PATEL,2026-03-30,2026-03-30,523570,3.47,399960,2.65,Arrow Greentech Limited,2026-04-03,2026-04-02,Promoter Group,123610,Equity Shares,53547152,Equity Shares,ARROWGREEN,Buy
Market Purchase,Shraddha Agarwal,2026-03-30,2026-03-30,1091068,0.27,1089718,0.27,Star Cement Limited,2026-04-03,2026-04-01,Promoter Group,1350,Equity Shares,273206,Equity Shares,STARCEMENT,Buy
Market Purchase,ARUN KUMAR BIYANI,2026-01-29,2026-01-30,5575000,23.93,5570000,23.91,Damodar Industries Limited,2026-04-02,2026-02-02,Promoters,50000,Equity Shares,126400,Equity Shares,DAMODARIND,Buy
Market Purchase,Maharashtra Scooters Limited,2026-03-27,2026-03-27,190261600,3.06,189991600,3.05,Bajaj Finance Limited,2026-04-02,2026-04-01,Promoter Group,270000,Equity Shares,230660568,Equity Shares,BAJFINANCE,Buy
Market Purchase,ICICI Prudential Life Insurance Company Limited,2026-03-30,2026-03-30,19075,0,Nil,0,ICICI Prudential Asset Management Company Limited,2026-04-02,2026-04-02,Promoter Group,19075,Equity Shares,53514084,Equity Shares,ICICIAMC,Buy
Market Purchase,Rajesh Kaimal,2026-03-30,2026-03-30,31000,0,5000,0,Embassy Developments Limited,2026-04-02,2026-04-01,Director,26000,Equity Shares,1029180,Equity Shares,EMBDL,Buy
Market Purchase,INDIA RESURGENCE FUND 2-SCHEME 2,2026-03-30,2026-03-30,70902930,47.95,65870491,44.55,Shree Digvijay Cement Co.Ltd,2026-04-02,2026-04-01,Promoters,5032439,Equity Shares,322013694,Equity Shares,SHREDIGCEM,Buy
Market Purchase,INDIA RESURGENCE FUND 2 - SCHEME 4,2026-03-30,2026-03-30,6151566,4.16,5714950,3.86,Shree Digvijay Cement Co.Ltd,2026-04-02,2026-04-01,Promoters,436616,Equity Shares,27943424,Equity Shares,SHREDIGCEM,Buy
Market Purchase,INDIA RESURGENCE FUND - SCHEME 1,2026-03-30,2026-03-30,17178717,11.62,15959432,10.79,Shree Digvijay Cement Co.Ltd,2026-04-02,2026-04-01,Promoters,1219285,Equity Shares,77927553,Equity Shares,SHREDIGCEM,Buy
Market Purchase,INDIA RESURGENCE FUND 2-SCHEME 2,2026-03-30,2026-03-30,70902930,47.95,65870491,44.55,Shree Digvijay Cement Co.Ltd,2026-04-02,2026-04-01,Promoters,5032439,Equity Shares,322013694,Equity Shares,SHREDIGCEM,Buy
Market Purchase,INDIA RESURGENCE FUND 2 - SCHEME 4,2026-03-30,2026-03-30,6151566,4.16,5714950,3.86,Shree Digvijay Cement Co.Ltd,2026-04-02,2026-04-01,Promoters,436616,Equity Shares,27943424,Equity Shares,SHREDIGCEM,Buy
Market Purchase,INDIA RESURGENCE FUND - SCHEME 1,2026-03-30,2026-03-30,17178717,11.62,15959432,10.79,Shree Digvijay Cement Co.Ltd,2026-04-02,2026-04-01,Promoters,1219285,Equity Shares,77927553,Equity Shares,SHREDIGCEM,Buy
Market Purchase,Ankit Sanjay Shah,2026-03-25,2026-03-30,3588000,27.17,3544500,26.84,HRH Next Services Limited,2026-04-02,2026-04-01,Promoters,43500,Equity Shares,1237299,Equity Shares,HRHNEXT,Buy
Market Sale,Shwetank Singh,2026-03-30,2026-03-30,100800,0.05,157800,0.07,Chalet Hotels Limited,2026-04-02,2026-04-01,Director,57000,Equity Shares,39900000,Equity Shares,CHALET,Sell
Market Sale,Jay Nitinkumar Patel,2026-03-30,2026-03-30,850,0.01,69850,0.57,Magson Retail And Distribution Limited,2026-04-02,2026-04-02,Promoter Group,69000,Equity Shares,10007070,Equity Shares,MAGSON,Sell
Market Sale,Ashwin Ratilal Thummar,2026-03-30,2026-03-30,900,0.01,42900,0.35,Magson Retail And Distribution Limited,2026-04-02,2026-04-02,Promoter Group,42000,Equity Shares,6090000,Equity Shares,MAGSON,Sell
Market Sale,Rekha Tarunbhai Koria,2026-03-30,2026-03-30,100,0,45100,0.37,Magson Retail And Distribution Limited,2026-04-02,2026-04-02,Promoter Group,45000,Equity Shares,6525000,Equity Shares,MAGSON,Sell
Market Sale,Rakesh Kumar Thummar,2026-03-30,2026-03-30,850,0.01,42900,0.35,Magson Retail And Distribution Limited,2026-04-02,2026-04-02,Promoter Group,42000,Equity Shares,6090000,Equity Shares,MAGSON,Sell
Market Sale,Maheshbhai Naranbhai Patel,2026-03-30,2026-03-30,233850,1.81,261850,2.12,Magson Retail And Distribution Limited,2026-04-02,2026-04-02,Promoter Group,28000,Equity Shares,4060000,Equity Shares,MAGSON,Sell
Market Sale,Dhirendra Gautamkumar Chopra,2026-02-17,2026-02-24,26747160,15.11,29303300,16.56,Osia Hyper Retail Limited,2026-04-02,2026-02-24,Promoters,2556140,Equity Shares,27231004,Equity Shares,OSIAHYPER,Sell
Market Sale,Kavita Dhirendrakumar Chopra,2026-02-17,2026-02-17,39580843,22.37,39620000,22.39,Osia Hyper Retail Limited,2026-04-02,2026-02-25,Promoters,39157,Equity Shares,511083,Equity Shares,OSIAHYPER,Sell
Market Sale,Dhirendra Gautamkumar Chopra,2026-02-26,2026-03-19,16390866,9.26,26747160,15.11,Osia Hyper Retail Limited,2026-04-02,2026-03-25,Promoters,10356294,Equity Shares,66123789,Equity Shares,OSIAHYPER,Sell
Market Sale,Kavita Dhirendrakumar Chopra,2026-02-26,2026-02-26,38830843,21.94,39580843,22.37,Osia Hyper Retail Limited,2026-04-02,2026-02-27,Promoters,750000,Equity Shares,6810000,Equity Shares,OSIAHYPER,Sell
Market Purchase,Krishna Kumar Choudhary,2026-03-30,2026-03-30,1438747,2.18,1438687,2.18,Rashi Peripherals Limited,2026-04-02,2026-04-01,Promoters,60,Equity Shares,20169,Equity Shares,RPTECH,Buy
Market Sale,SHREE MPJ CEMENT WORKS LLP,2026-03-29,2026-03-31,4159600,32.84,4491600,35.46,Digikore Studios Limited,2026-04-02,2026-04-01,Promoters,332000,Equity Shares,19200000,Equity Shares,DIGIKORE,Sell
Market Purchase,Binarius Infra Private Limited,2026-03-30,2026-03-30,15400,0.01,Nil,0,Deepak Nitrite Limited,2026-04-02,2026-03-31,Promoter Group,15400,Equity Shares,19957462,Equity Shares,DEEPAKNTR,Buy
Market Purchase,Binarius Infra Private Limited,2026-03-30,2026-03-30,15400,0.01,Nil,0,Deepak Nitrite Limited,2026-04-02,2026-03-31,Promoter Group,15400,Equity Shares,19957462,Equity Shares,DEEPAKNTR,Buy
Market Purchase,VINIT ARVIND SHAH,2026-03-25,2026-03-27,1372500,7.71,1348500,7.58,ARVIND PORT AND INFRA LIMITED,2026-04-02,2026-03-31,Promoters,24000,Equity Shares,735975,Equity Shares,ARVINDPORT,Buy
Market Purchase,Subramanian Krishnaprakash,2026-03-30,2026-03-30,1939722,8.34,1928722,8.3,EMA Partners India Limited,2026-04-02,2026-04-01,Promoters,11000,Equity Shares,792000,Equity Shares,EMAPARTNER,Buy
Market Purchase,Krishnan Sudarshan,2026-03-30,2026-03-30,12531901,53.91,12506901,53.8,EMA Partners India Limited,2026-04-02,2026-04-01,Promoters,25000,Equity Shares,1830250,Equity Shares,EMAPARTNER,Buy
Market Sale,M V Usha,2026-03-27,2026-03-27,321903,0.03,327903,0.03,Karur Vysya Bank Limited,2026-04-01,2026-04-01,Promoter Group,6000,Equity Shares,1697518,Equity Shares,KARURVYSYA,Sell
Market Sale,M V PRAJEETH,2026-03-27,2026-03-27,253388,0.03,258388,0.03,Karur Vysya Bank Limited,2026-04-01,2026-04-01,Promoter Group,5000,Equity Shares,1410602,Equity Shares,KARURVYSYA,Sell
Market Sale,MUNUGOOR K VENKATESAN,2026-03-27,2026-03-27,357182,0.04,362182,0.04,Karur Vysya Bank Limited,2026-04-01,2026-04-01,Promoters,5000,Equity Shares,1420182,Equity Shares,KARURVYSYA,Sell
Market Purchase,MANGLA MURLI KABRA,2026-03-27,2026-03-31,36000,0.15,21000,0.09,ALUWIND INFRA-TECH LIMITED,2026-04-01,2026-04-04,Promoter Group,15000,Equity Shares,814500,Equity Shares,ALUWIND,Buy
Market Purchase,Kabir Ghumman,2026-03-30,2026-03-30,2173250,3.77,2131685,3.7,Shivalik Bimetal Controls Limited,2026-04-01,2026-04-01,Promoters,41565,Equity Shares,16577268,Equity Shares,SBCL,Buy
Market Purchase,Kabir Ghumman,2026-03-27,2026-03-27,2131685,3.7,2086500,3.62,Shivalik Bimetal Controls Limited,2026-04-01,2026-04-01,Promoters,45185,Equity Shares,17082218,Equity Shares,SBCL,Buy
Market Purchase,Sumer Ghumman,2026-03-30,2026-03-30,2173550,3.77,2086800,3.62,Shivalik Bimetal Controls Limited,2026-04-01,2026-04-01,Promoters,86750,Equity Shares,34167688,Equity Shares,SBCL,Buy
Market Purchase,Sirmaur Hospitality Private Limited,2026-03-27,2026-03-27,523100,0.91,455600,0.79,Shivalik Bimetal Controls Limited,2026-04-01,2026-04-01,Promoters,67500,Equity Shares,25180875,Equity Shares,SBCL,Buy
Market Purchase,COMPUCOM TECHNOLOGIES PRIVATE LIMITED,2026-03-30,2026-03-30,20296537,25.65,20269420,25.62,Compucom Software Limited,2026-04-01,2026-04-01,Promoter Group,27117,Equity Shares,335519,Equity Shares,COMPUSOFT,Buy
Market Purchase,Mr. Naresh Radheshyam Thard,2026-03-30,2026-03-30,9899243,13.33,9706728,13.07,Rajshree Polypack Limited,2026-04-01,2026-04-01,Promoters,192515,Equity Shares,2939996,Equity Shares,RPPL,Buy
Market Purchase,ABHISHEK SUMERRAJ LODHA,2026-03-30,2026-03-30,2660214,13.12,2644214,13.04,Uma Converter Limited,2026-04-01,2026-03-31,Promoters,16000,Equity Shares,255800,Equity Shares,UMA,Buy
Market Purchase,Riyaz Ganji,2026-03-30,2026-03-30,4402562,16.71,4301290,16.33,Libas Consumer Products Limited,2026-04-01,2026-04-01,Promoters,101272,Equity Shares,1032875,Equity Shares,LIBAS,Buy
Market Purchase,Sirisha Projects Private Limited,2026-03-30,2026-03-30,23097945,3.68,22950445,3.66,NCC Limited,2026-04-01,2026-03-31,Promoters,147500,Equity Shares,19900700,Equity Shares,NCC,Buy
Market Purchase,Gallantt Industry Private Limited,2026-03-30,2026-03-30,2651975,1.1,2575475,1.07,Gallantt Ispat Limited,2026-04-01,2026-04-01,Promoter Group,76500,Equity Shares,42241662,Equity Shares,GALLANTT,Buy
Market Sale,Kinex India Private Limited,2026-03-30,2026-03-30,200778999,65.92,205878999,67.6,Bartronics India Limited,2026-04-01,2026-04-01,Promoters,5100000,Equity Shares,35718628,Equity Shares,ASMS,Sell
Market Purchase,Manish Mimani,2026-03-30,2026-03-30,2320757,5.74,2025443,5.01,Ganesh Consumer Products Limited,2026-04-01,2026-03-31,Promoters,295314,Equity Shares,49984818,Equity Shares,GANESHCP,Buy
Market Purchase,IRM TRUST,2026-03-30,2026-03-30,5836577,14.21,5580238,13.59,IRM Energy Limited,2026-04-01,2026-03-31,Promoters,256339,Equity Shares,45451468,Equity Shares,IRMENERGY,Buy
Market Purchase,IRM TRUST,2026-03-30,2026-03-30,5856524,14.26,5836577,14.21,IRM Energy Limited,2026-04-01,2026-03-31,Promoters,19947,Equity Shares,3590280,Equity Shares,IRMENERGY,Buy
Market Purchase,BANWARI LAL MITTAL,2025-03-30,2025-03-30,10791355,33.92,10786355,33.91,Health X Platform Limited,2026-04-01,2025-03-31,Promoters,5000,Equity Shares,1376900,Equity Shares,HEALTHX,Buy
Market Purchase,UNINAV DEVELOPERS PRIVATE LIMITED,2026-03-30,2026-03-30,350000,1.81,250000,0.36,Nupur Recyclers Limited,2026-04-01,2026-03-31,Promoter Group,100000,Equity Shares,4730000,Equity Shares,NRL,Buy
Market Purchase,SAMEER KAMLESH MERCHANT,2026-03-30,2026-03-30,8698111,15.83,8680932,15.79,Laxmi Dental Limited,2026-04-01,2026-03-30,Promoters,17179,Equity Shares,2738676,Equity Shares,LAXMIDENTL,Buy
Market Purchase,Goel Die Cast Limited,2026-03-30,2026-03-30,8020954,3.69,7995954,3.67,Surya Roshni Limited,2026-04-01,2026-03-31,Promoter Group,25000,Equity Shares,4784160,Equity Shares,SURYAROSNI,Buy
Market Purchase,MANJOO SARDANA,2026-03-30,2026-03-30,2503244,8.01,2501167,8,Sukhjit Starch & Chemicals Limited,2026-04-01,2026-03-31,Promoters,2077,Equity Shares,318200,Equity Shares,SUKHJITS,Buy
Market Purchase,MANJOO SARDANA,2026-03-30,2026-03-30,2501167,8,2491744,7.98,Sukhjit Starch & Chemicals Limited,2026-04-01,2026-03-31,Promoters,9423,Equity Shares,1433900,Equity Shares,SUKHJITS,Buy
Market Purchase,THE ORIENTAL COMPANY LIMITED,2026-03-27,2026-03-27,1210360,11.04,1209319,11.04,Gloster Limited,2026-03-31,2026-03-31,Promoter Group,1311,Equity Shares,688305,Equity Shares,GLOSTERLTD,Buy
Market Purchase,THE ORIENTAL COMPANY LIMITED,2026-03-25,2026-03-25,1209319,11.04,1208012,11.04,Gloster Limited,2026-03-31,2026-03-31,Promoter Group,1307,Equity Shares,687202,Equity Shares,GLOSTERLTD,Buy
Market Purchase,THE ORIENTAL COMPANY LIMITED,2026-03-30,2026-03-30,1213627,11.06,1210360,11.04,Gloster Limited,2026-03-31,2026-03-31,Promoter Group,3267,Equity Shares,1708993,Equity Shares,GLOSTERLTD,Buy
Market Purchase,Vipul Haridas Thakkar,2026-03-30,2026-03-30,26829760,21.16,26789460,21.13,Silver Touch Technologies Limited,2026-03-31,2026-03-31,Promoters,40300,Equity Shares,4179110,Equity Shares,SILVERTUC,Buy
Market Purchase,MR.MAHESH FOGLA,2026-03-27,2026-03-30,49050,0.07,46550,0.07,Patel Integrated Logistics Limited,2026-03-31,2026-03-30,Director,2500,Equity Shares,21875,Equity Shares,PATINTLOG,Buy
Market Purchase,MR.MAHESH FOGLA,2026-03-27,2026-03-30,50000,0.01,49050,0.07,Patel Integrated Logistics Limited,2026-03-31,2026-03-30,Director,950,Equity Shares,8075,Equity Shares,PATINTLOG,Buy
Market Purchase,MR.MAHESH FOGLA,2026-03-27,2026-03-30,41550,0.06,40000,0.01,Patel Integrated Logistics Limited,2026-03-31,2026-03-30,Director,1550,Equity Shares,13158,Equity Shares,PATINTLOG,Buy
Market Purchase,MR.MAHESH FOGLA,2026-03-27,2026-03-30,46550,0.07,41550,0.06,Patel Integrated Logistics Limited,2026-03-31,2026-03-30,Director,5000,Equity Shares,41750,Equity Shares,PATINTLOG,Buy
Market Purchase,Mr. RAMAKANT K KADAM,2026-03-27,2026-03-27,26000,0.01,25960,0.04,Patel Integrated Logistics Limited,2026-03-31,2026-03-29,Director,40,Equity Shares,356,Equity Shares,PATINTLOG,Buy
Market Purchase,Mr. RAMAKANT K KADAM,2026-03-27,2026-03-27,25960,0.04,25877,0.04,Patel Integrated Logistics Limited,2026-03-31,2026-03-29,Director,83,Equity Shares,739,Equity Shares,PATINTLOG,Buy
