Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts,Date
Client,202002,86619,2460900,271348,2204098,1262583,2110516,1714683,1226855,482178,715508,729820,7838616,5628494,01-08-2025
DII,62957,31218,131506,4070595,70,24774,0,0,1148,0,47739,0,220455,4149552,01-08-2025
FII,16421,174605,3340768,2034752,283704,411973,361271,210981,20962,48180,45653,25760,4122008,2853023,01-08-2025
Pro,40378,29316,687796,244275,751651,790556,767736,564221,419358,630810,859423,405588,3320549,2870559,01-08-2025
TOTAL,321758,321758,6620970,6620970,3239523,2489885,3239523,2489885,1668323,1161168,1668323,1161168,15501627,15501627,01-08-2025
Client,199081,86254,2443180,274529,2206963,1758312,2304380,2180048,1315922,554202,829908,768284,8477660,6443402,04-08-2025
DII,62911,31218,136452,4101490,70,24774,0,0,1148,0,104337,0,225355,4237045,04-08-2025
FII,17230,174180,3357670,2006823,292059,406572,338534,238188,31899,56756,58932,34330,4162186,2850986,04-08-2025
Pro,40704,28274,681193,235653,875745,957551,731924,728974,528527,655414,884319,463758,3739134,3072902,04-08-2025
TOTAL,319926,319926,6618495,6618495,3374838,3147209,3374838,3147209,1877496,1266372,1877496,1266372,16604336,16604336,04-08-2025
Client,207549,89052,2477960,273860,2590223,1801991,2562314,2227267,1445500,579042,897110,824033,9102264,6873636,05-08-2025
DII,62935,29518,144003,4088900,70,19634,0,0,1148,0,118895,0,227790,4237313,05-08-2025
FII,17090,185864,3341824,2032855,335018,456499,374810,259607,41825,66382,67259,40961,4258638,2961356,05-08-2025
Pro,46349,29489,676333,244505,931462,942519,919649,733768,552626,698917,957835,479347,3848206,3364593,05-08-2025
TOTAL,333923,333923,6640120,6640120,3856773,3220642,3856773,3220642,2041099,1344341,2041099,1344341,17436899,17436899,05-08-2025
Client,208133,93259,2487645,272931,3031442,1838812,2902144,2301507,1568131,609232,954212,861780,9743395,7385833,06-08-2025
DII,62924,29081,149492,4091303,70,29634,0,0,1388,0,128908,0,243508,4249292,06-08-2025
FII,17310,184401,3338651,2051748,396621,532016,449463,270008,45689,70798,72478,45211,4401086,3073309,06-08-2025
Pro,46578,28204,690425,250231,1095861,1011220,1172388,840167,574299,738490,1033909,511529,4156873,3836428,06-08-2025
TOTAL,334945,334945,6666213,6666213,4523995,3411682,4523995,3411682,2189507,1418520,2189507,1418520,18544862,18544862,06-08-2025
Client,209403,89593,2503840,266174,1532145,1245912,1464923,1622163,1629659,625358,1008638,879834,7746317,5331324,07-08-2025
DII,64020,27088,152268,4137466,70,25383,0,0,1388,0,141400,0,243129,4305954,07-08-2025
FII,17977,191236,3365626,2065511,235441,416437,281197,174462,49871,75643,77650,49124,4160995,2839180,07-08-2025
Pro,46623,30106,700982,253565,550235,669788,571771,560896,612141,759041,1065371,531084,3338810,3012793,07-08-2025
TOTAL,338023,338023,6722716,6722716,2317891,2357520,2317891,2357520,2293059,1460042,2293059,1460042,15489251,15489251,07-08-2025
Client,217668,93510,2531465,267153,2604472,1358824,2445548,1850137,1826182,631457,1079440,920293,9170068,6656081,08-08-2025
DII,66935,25435,155599,4141371,12070,32394,0,0,1538,0,149371,0,268536,4316177,08-08-2025
FII,18122,200792,3360738,2100292,360340,480816,451153,197681,55548,86148,83341,53843,4361712,3087102,08-08-2025
Pro,52876,35864,726794,265780,975805,791209,1055986,615425,626231,806392,1197347,549861,3979307,3720263,08-08-2025
TOTAL,355601,355601,6774596,6774596,3952687,2663243,3952687,2663243,2509499,1523997,2509499,1523997,17779623,17779623,08-08-2025
Client,215716,93362,2507588,275764,2268785,1993015,2354657,2402620,1826415,697423,1117333,933840,9508941,7177576,11-08-2025
DII,66412,27135,163649,4161780,70,34894,0,0,1688,0,167116,0,266713,4356031,11-08-2025
FII,18282,198009,3395836,2099263,319433,517729,385879,288444,60191,91882,86139,56774,4403353,3114508,11-08-2025
Pro,48925,30829,734462,264728,990985,1013160,838737,867733,669966,802909,1187672,601600,4260408,3791300,11-08-2025
TOTAL,349335,349335,6801535,6801535,3579273,3558798,3579273,3558798,2558260,1592214,2558260,1592214,18439415,18439415,11-08-2025
Client,218633,91345,2518347,284107,2959909,1915103,2865482,2395005,1903603,714861,1156513,963731,10230456,7756183,12-08-2025
DII,66527,27985,164401,4153113,70,34894,0,0,1948,0,178576,0,267840,4359674,12-08-2025
FII,17520,202778,3415322,2112152,356179,512828,443340,260681,63388,98228,90226,63483,4463464,3172660,12-08-2025
Pro,51682,32254,733905,282603,1138323,1002621,1145659,809759,691369,824463,1234993,610338,4442363,4115606,12-08-2025
TOTAL,354362,354362,6831975,6831975,4454481,3465445,4454481,3465445,2660308,1637552,2660308,1637552,19404123,19404123,12-08-2025
Client,217862,91683,2517625,282699,2783983,2536444,2733953,2902372,1901148,779424,1186392,989626,10736486,8186725,13-08-2025
DII,66606,29131,167561,4192352,1070,33439,0,0,3948,0,180848,0,272624,4402331,13-08-2025
FII,19155,201912,3453645,2118460,399605,562039,451350,371415,75242,105040,92873,68723,4614726,3304734,13-08-2025
Pro,52560,33457,748913,294233,1105383,1279531,1104738,1137665,709040,823796,1229265,649911,4719223,4449269,13-08-2025
TOTAL,356183,356183,6887744,6887744,4290042,4411452,4290042,4411452,2689378,1708260,2689378,1708260,20343059,20343059,13-08-2025
Client,214029,89898,2521603,280683,1697060,1206346,1525668,1597071,1950556,774573,1205472,1004399,8364167,5703191,14-08-2025
DII,66066,31131,177456,4191769,5870,45454,0,0,9008,0,184637,0,303854,4407537,14-08-2025
FII,18213,201092,3457494,2144330,254685,420447,286714,164603,85791,113474,98213,71754,4350103,2966706,14-08-2025
Pro,54976,31163,765428,305199,505175,655611,650408,566183,716374,842554,1273407,654448,3540119,3480809,14-08-2025
TOTAL,353284,353284,6921981,6921981,2462790,2327858,2462790,2327858,2761729,1730601,2761729,1730601,16558243,16558243,14-08-2025
Client,203467,87665,2512435,289728,2238526,1722603,2146460,2185351,1937444,865309,1217407,1045247,9479784,6971858,18-08-2025
DII,72060,34952,189885,4224036,2170,45454,0,0,2887,0,199696,0,312456,4458684,18-08-2025
FII,20703,192027,3498037,2132486,343765,506654,372870,251792,88145,118500,100342,77982,4575804,3127500,18-08-2025
Pro,51648,33234,782848,336955,745643,904920,810774,742487,783217,871583,1294248,732163,4139859,3949861,18-08-2025
TOTAL,347878,347878,6983205,6983205,3330104,3179631,3330104,3179631,2811693,1855392,2811693,1855392,18507903,18507903,18-08-2025
Client,202833,85183,2521111,298296,2373616,2271089,2362184,2656338,1919868,927910,1242136,1072502,10216428,7716639,19-08-2025
DII,72435,35473,191756,4239748,950,57454,0,0,2598,0,203255,0,325193,4478476,19-08-2025
FII,20682,192213,3520500,2120055,362434,525440,375091,262975,92390,121137,104762,82804,4642582,3137900,19-08-2025
Pro,48726,31807,782128,357396,847804,1033312,847529,967982,820738,877956,1285441,771697,4410664,4261852,19-08-2025
TOTAL,344676,344676,7015495,7015495,3584804,3887295,3584804,3887295,2835594,1927003,2835594,1927003,19594867,19594867,19-08-2025
Client,202829,83714,2538744,307651,2569340,2723746,2535852,3049305,1972173,953816,1266911,1103268,10960648,8346701,20-08-2025
DII,72307,40103,202553,4234101,950,54679,0,0,3011,0,213513,0,333500,4487717,20-08-2025
FII,21383,194575,3527057,2136619,384514,562212,422435,350914,100320,125722,110081,86325,4721208,3300949,20-08-2025
Pro,50211,28338,790267,380250,956668,1302527,953184,1242946,849505,906766,1334504,796711,4855944,4735933,20-08-2025
TOTAL,346730,346730,7058621,7058621,3911472,4643165,3911472,4643165,2925009,1986304,2925009,1986304,20871300,20871300,20-08-2025
Client,197261,85821,2550870,318432,1743808,1427685,1707471,1834552,1995787,948945,1281827,1120389,8864356,6348492,21-08-2025
