Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts,Date
TOTAL,328250,328250,7240551,7240551,2772394,2791772,2772394,2791772,3345441,2112694,3345441,2112694,18591102,18591102,23-09-2025
Client,196282,82472,2658971,346850,2346866,1724656,2384327,2198098,2369607,942803,1430813,1219245,10239186,7661805,24-09-2025
DII,82576,38946,221448,4280183,963,31495,0,0,2284,0,228383,0,338766,4547512,24-09-2025
FII,29680,174979,3510851,2198150,387894,591874,446592,316811,91139,132671,120993,94086,4744109,3351611,24-09-2025
Pro,26548,38689,903578,469665,999122,880599,903926,713716,969250,1041491,1652091,803634,4820589,4581722,24-09-2025
TOTAL,335086,335086,7294848,7294848,3734845,3228625,3734845,3228625,3432280,2116965,3432280,2116965,20142649,20142649,24-09-2025
Client,201678,85649,2655354,329466,3069240,1813250,3052700,2324581,2341963,899821,1408383,1191735,10981306,8392515,25-09-2025
DII,83432,37246,227078,4314499,963,25645,0,0,1986,0,229189,0,339104,4580934,25-09-2025
FII,33574,181460,3495527,2193230,490236,661734,565970,342115,96253,139531,119764,87031,4916856,3489570,25-09-2025
Pro,31920,46249,896854,437618,1301421,940960,1243190,774893,976612,1044986,1659478,805572,5192753,4967000,25-09-2025
TOTAL,350604,350604,7274813,7274813,4861861,3441589,4861861,3441589,3416814,2084338,3416814,2084338,21430019,21430019,25-09-2025
Client,215067,84788,2636357,324627,3573150,1928506,3586252,2379522,2329402,863185,1366152,1159656,11545667,8900997,26-09-2025
DII,83431,35046,238014,4320859,25063,25645,0,0,1913,0,228202,0,374066,4584107,26-09-2025
FII,33565,200527,3518668,2237967,625853,753826,682758,418024,89537,143871,118637,80633,5165320,3738546,26-09-2025
Pro,42964,54666,897658,407244,1513648,984084,1468704,894515,933026,1020426,1640887,787193,5391806,5253209,26-09-2025
TOTAL,375027,375027,7290697,7290697,5737713,3692061,5737713,3692061,3353878,2027482,3353878,2027482,22476858,22476858,26-09-2025
Client,212772,85657,2624151,321938,3487694,2219030,3546637,2714339,2096284,844681,1266924,1076676,11484612,9012172,29-09-2025
DII,83527,35767,246780,4370163,13363,25645,0,0,1913,0,215470,0,371228,4621400,29-09-2025
FII,39999,209583,3546355,2208091,673693,819160,699252,497231,74003,112209,117727,78250,5265418,3810134,29-09-2025
Pro,44079,49370,887814,404908,1542036,1167865,1470896,1020129,931585,998820,1503664,800784,5572199,5249751,29-09-2025
TOTAL,380377,380377,7305100,7305100,5716785,4231700,5716785,4231700,3103785,1955710,3103785,1955710,22693457,22693457,29-09-2025
Client,193487,68064,2561008,245271,1471677,1025223,1425886,1416084,1046131,459457,622628,657766,6756983,4435699,30-09-2025
DII,83610,33467,175255,4336439,9463,25645,0,0,214,0,694,0,294187,4370600,30-09-2025
FII,11968,188058,3460076,2133316,243003,440915,306297,169406,18852,45799,40807,20114,4220613,2857998,30-09-2025
Pro,33705,33181,711953,193266,486304,548564,478264,454856,320345,516948,721413,344324,2617819,2225304,30-09-2025
TOTAL,322770,322770,6908292,6908292,2210447,2040347,2210447,2040347,1385542,1022204,1385542,1022204,13889601,13889601,30-09-2025
Client,193862,61300,2579771,251593,1835402,1989232,1925285,2333162,1194837,528532,766654,739762,8321636,6077756,01-10-2025
DII,84836,33542,178832,4347017,10603,25645,0,0,239,0,35886,0,300155,4416445,01-10-2025
FII,13912,190822,3471753,2151518,357533,575568,372340,294319,35254,58891,57234,32665,4512911,3098898,01-10-2025
Pro,33883,40829,731449,211677,704037,833149,609951,796113,454358,613507,824914,428503,3370383,2911987,01-10-2025
TOTAL,326493,326493,6961805,6961805,2907575,3423594,2907575,3423594,1684688,1200930,1684688,1200930,16505085,16505085,01-10-2025
Client,203594,61671,2621031,259716,2382986,2551188,2592184,2957709,1354485,581776,879658,821528,9695060,7572466,03-10-2025
DII,85045,33542,190191,4350929,10603,25645,0,0,269,50,64776,0,311803,4449247,03-10-2025
FII,14740,204236,3449772,2158201,435776,714678,440435,423943,45728,73532,74382,43392,4734226,3344589,03-10-2025
Pro,35091,39021,729416,221564,1000103,1191221,796849,1101080,529094,689082,910760,479520,4174006,3548794,03-10-2025
TOTAL,338470,338470,6990410,6990410,3829468,4482732,3829468,4482732,1929576,1344440,1929576,1344440,18915095,18915095,03-10-2025
Client,193678,60053,2640472,261435,2367230,2998759,2463803,3293330,1461405,629756,976877,869937,10291299,7925436,06-10-2025
DII,85017,36942,202859,4357897,10603,25645,0,0,293,50,85025,0,324467,4479864,06-10-2025
FII,16306,213884,3447351,2164592,467977,749022,441453,467653,55835,85338,85406,51016,4821829,3424004,06-10-2025
Pro,45930,30052,728846,235604,1034279,1303614,974833,1316056,605409,723875,975634,518066,4441953,4050245,06-10-2025
TOTAL,340931,340931,7019528,7019528,3880089,5077040,3880089,5077040,2122942,1439019,2122942,1439019,19879548,19879548,06-10-2025
Client,186056,62708,2669232,263411,1522387,1435898,1542950,1759174,1591247,654274,1037638,910593,8059094,5576474,07-10-2025
DII,83629,37442,196212,4360121,10453,26845,0,0,293,50,118531,0,317482,4516094,07-10-2025
FII,16302,205832,3434287,2172286,279900,473007,302475,215629,63905,91984,95523,58739,4359385,3050484,07-10-2025
Pro,48696,28701,739523,243436,629649,622407,596964,583353,664283,770249,1068036,547225,3474807,3067715,07-10-2025
TOTAL,334683,334683,7039254,7039254,2442389,2558157,2442389,2558157,2319728,1516557,2319728,1516557,16210768,16210768,07-10-2025
Client,190887,63242,2693930,271412,2307775,1673450,2338095,2086616,1784838,661873,1104849,955592,9312752,6819806,08-10-2025
DII,81622,34186,200818,4338757,10453,28820,0,0,293,50,137357,0,322056,4510300,08-10-2025
FII,16643,205319,3410946,2185399,355775,561138,399689,277310,71063,101582,104130,66237,4517147,3238084,08-10-2025
Pro,40360,26765,749171,259297,1023062,819276,959281,718757,688080,823503,1197938,565179,4143452,3727217,08-10-2025
TOTAL,329512,329512,7054865,7054865,3697065,3082684,3697065,3082684,2544274,1587008,2544274,1587008,18295407,18295407,08-10-2025
Client,192455,63868,2683156,271810,2249199,2298435,2406912,2602306,1790110,720045,1162444,978303,9933400,7485642,09-10-2025
DII,79031,34101,206242,4361961,11153,30920,0,0,293,50,155017,0,327689,4551079,09-10-2025
FII,16359,202169,3415024,2167903,372613,585061,393230,324721,76710,106260,105101,67221,4572027,3260345,09-10-2025
Pro,39666,27373,756386,259134,1043477,986849,876300,974238,757232,835174,1201783,616005,4418784,3954833,09-10-2025
TOTAL,327511,327511,7060808,7060808,3676442,3901265,3676442,3901265,2624345,1661529,2624345,1661529,19251900,19251900,09-10-2025
Client,191878,65620,2663719,274381,2310910,2881227,2456521,3206449,1841704,751195,1205566,1004858,10640633,8213395,10-10-2025
DII,78791,34101,209493,4363652,11153,30920,0,0,622,50,174541,0,331029,4572294,10-10-2025
FII,16085,197424,3431900,2160041,467200,705720,454751,425386,85995,108234,107194,71677,4815134,3416473,10-10-2025
Pro,41219,30828,765977,273015,989413,1265831,867405,1251862,791885,852196,1232905,635140,4706521,4291154,10-10-2025
TOTAL,327973,327973,7071089,7071089,3778676,4883697,3778676,4883697,2720206,1711675,2720206,1711675,20493317,20493317,10-10-2025
Client,192610,57392,2664800,276283,2862090,2704895,2910126,3158124,1882339,749888,1212093,1016542,11056622,8630561,13-10-2025
DII,81859,34031,214517,4316856,11153,29320,0,0,14665,50,180409,0,351564,4531296,13-10-2025
FII,15893,201602,3404984,2186351,471899,696850,507414,378118,88327,109605,107366,72356,4787559,3453207,13-10-2025
Pro,39330,36667,778669,283480,1224421,1400334,1152023,1295157,774504,865277,1259967,635922,5082535,4663216,13-10-2025
TOTAL,329692,329692,7062970,7062970,4569563,4831399,4569563,4831399,2759835,1724820,2759835,1724820,21278279,21278279,13-10-2025
Client,197580,61115,2691856,284920,1929369,1415287,1875338,1819089,2060023,721582,1262851,1047145,9015697,6350459,14-10-2025
DII,78678,34181,217671,4299694,11153,28520,0,0,31065,50,186418,0,367137,4520293,14-10-2025
FII,16255,210635,3376799,2223080,294716,505650,325879,214243,88939,115126,112094,71074,4397486,3157005,14-10-2025
Pro,44505,31087,816018,294650,696612,761578,730632,677704,797051,923003,1415715,641542,4038767,3791329,14-10-2025
TOTAL,337018,337018,7102344,7102344,2931849,2711036,2931849,2711036,2977078,1759761,2977078,1759761,17819086,17819086,14-10-2025
Client,199029,69015,2697248,297293,1941400,2109695,2103096,2474154,2035526,808758,1318463,1067466,9791656,7329487,15-10-2025
DII,78685,35781,223780,4319256,11653,28520,0,0,32467,50,203388,0,375155,4558425,15-10-2025
FII,18420,207535,3389785,2220390,388724,603176,391091,344648,97848,120991,120139,74725,4618945,3358528,15-10-2025
Pro,50242,34045,835012,308886,935780,1158426,783369,1081016,889784,932969,1413635,720577,4802213,4341528,15-10-2025
TOTAL,346376,346376,7145825,7145825,3277556,3899818,3277556,3899818,3055625,1862768,3055625,1862768,19587968,19587968,15-10-2025
Client,188687,79977,2691846,314401,2037054,2749384,2166280,2999435,2031199,854428,1329000,1096228,10552598,7985321,16-10-2025
DII,85875,39381,227511,4296969,12390,28520,0,0,32467,50,211101,0,386813,4547451,16-10-2025
FII,31061,193999,3400227,2219913,513127,717269,421816,429056,107041,124507,123816,80337,4893232,3468937,16-10-2025
Pro,44311,36577,842962,331263,890353,1158585,864827,1225267,921464,960344,1428254,762764,4818018,4648952,16-10-2025
TOTAL,349934,349934,7162546,7162546,3452923,4653758,3452923,4653758,3092171,1939329,3092171,1939329,20650661,20650661,16-10-2025
Client,176430,84974,2684994,322205,2458638,2769673,2508213,3218510,2133377,851596,1366163,1128126,11074709,8628191,17-10-2025
DII,81613,39545,232236,4267368,11190,44820,0,0,32467,50,223845,0,402376,4530758,17-10-2025
FII,35421,177941,3420732,2249004,576956,789945,494668,509542,107719,134792,125546,85958,5065565,3642659,17-10-2025
Pro,44886,35890,876251,375636,1019787,1299939,1063689,1176326,959521,1001397,1517530,773751,5201781,4942822,17-10-2025
TOTAL,338350,338350,7214213,7214213,4066571,4904377,4066571,4904377,3233084,1987835,3233084,1987835,21744430,21744430,17-10-2025
Client,185407,95626,2676141,330541,1747238,1760612,1751276,2066762,2125194,895362,1368778,1126746,9389954,6739729,20-10-2025
DII,79138,39702,234363,4277330,11190,48720,0,0,32467,2474,230987,0,408352,4548019,20-10-2025
FII,40857,178185,3480413,2264835,399981,580985,354254,320708,108566,141104,133065,91682,4751907,3342729,20-10-2025
Pro,49375,41264,896096,414307,594069,759824,646949,762671,1016574,1019085,1549971,839597,4335023,4254759,20-10-2025
TOTAL,354777,354777,7287013,7287013,2752479,3150141,2752479,3150141,3282801,2058025,3282801,2058025,18885236,18885236,20-10-2025
Client,182701,95873,2685652,337514,2003334,1924986,2010888,2256157,2095585,904282,1374340,1138561,9796540,7213333,21-10-2025
DII,78882,40989,234191,4268421,11190,48720,0,0,32467,2474,230987,0,407924,4540397,21-10-2025
FII,41725,178754,3488325,2265552,427163,603637,387691,358611,107524,140963,133368,91884,4809338,3415860,21-10-2025
Pro,52745,40437,893180,429861,711233,874096,754342,836671,1045573,1024837,1542454,842111,4601664,4445876,21-10-2025
TOTAL,356053,356053,7301348,7301348,3152920,3451439,3152920,3451439,3281149,2072556,3281149,2072556,19615466,19615466,21-10-2025
Client,178572,102037,2639104,322835,2605967,2277170,2598758,2681791,1981404,896430,1317533,1109337,10578647,8132291,23-10-2025
DII,77510,45984,232030,4299020,12090,50420,0,0,32741,3014,237390,24,407805,4582418,23-10-2025
FII,51852,165363,3571637,2223218,593204,689573,520977,434889,112457,147930,125250,88538,5166654,3558235,23-10-2025
Pro,45822,40372,821858,419556,933598,1060824,1025125,961307,1093494,1027472,1539923,876947,4983068,4863230,23-10-2025
TOTAL,353756,353756,7264629,7264629,4144859,4077987,4144859,4077987,3220096,2074846,3220096,2074846,21136173,21136173,23-10-2025
Client,176249,95808,2672286,319550,3217776,2365927,3324000,2777311,1965525,881047,1307916,1119858,11278811,8944443,24-10-2025
DII,76394,39344,233055,4293879,12126,48820,0,0,32421,3184,232654,24,406000,4565901,24-10-2025
FII,52577,159124,3564140,2233313,727466,744535,674020,482235,104146,143007,116579,81073,5335871,3746344,24-10-2025
Pro,33838,44782,791567,414306,1459801,1068615,1419149,968352,1053195,1012850,1498138,839133,5419866,5183860,24-10-2025
TOTAL,339058,339058,7261048,7261048,5417169,4227898,5417169,4227898,3155287,2040088,3155287,2040088,22440548,22440548,24-10-2025
Client,172300,96758,2646793,327412,2813486,2947457,3006870,3322387,1753195,881176,1222714,1071735,11214406,9047877,27-10-2025
DII,75920,39324,243251,4319034,12162,55620,0,0,32306,4888,223062,25,424147,4581445,27-10-2025
FII,56880,164512,3604193,2211101,637647,776267,587943,544343,97595,128951,112494,76340,5301533,3696733,27-10-2025
Pro,40317,44823,785831,422521,1357152,1408237,1225632,1320852,1073862,1011903,1398688,878818,5677302,5291334,27-10-2025
TOTAL,345417,345417,7280068,7280068,4820446,5187582,4820446,5187582,2956958,2026918,2956958,2026918,22617389,22617389,27-10-2025
Client,150801,75156,2607698,263723,1469814,1226253,1436054,1515191,965051,438652,647746,616557,6858269,4554427,28-10-2025
DII,73900,46948,157814,4213327,972,35957,0,0,0,6601,7795,25,275244,4268095,28-10-2025
FII,29492,121658,3414298,2144120,270517,380878,284650,202558,26060,38563,36330,16621,4159808,2805937,28-10-2025
Pro,17636,28067,660754,219394,529874,597457,550471,522797,369595,494145,668835,344758,2669461,2334322,28-10-2025
TOTAL,271829,271829,6840564,6840564,2271176,2240546,2271176,2240546,1360706,977961,1360706,977961,13962782,13962782,28-10-2025
Client,152430,81929,2740987,297683,1695458,1842550,1783425,2070339,1185918,573616,852758,764672,8190959,5850807,29-10-2025
DII,74542,39279,163339,4554840,1013,41727,0,0,0,8807,26326,38,289428,4620483,29-10-2025
FII,29916,128230,3676025,2207441,357309,454756,352202,307113,46295,59812,62920,36674,4624113,3094581,29-10-2025
Pro,23958,31408,725168,245555,719122,790856,637275,752437,560462,634396,850671,475247,3453963,2992592,29-10-2025
TOTAL,280846,280846,7305519,7305519,2772902,3129889,2772902,3129889,1792675,1276631,1792675,1276631,16558463,16558463,29-10-2025
Client,163622,82278,2789664,301515,2705788,1779761,2649215,2180751,1398510,595393,947269,849241,9432738,7010268,30-10-2025
DII,74594,37729,162910,4550857,1263,41727,0,0,0,8807,33502,38,289301,4622126,30-10-2025
FII,28410,138858,3650425,2241930,510212,542950,532779,320635,53885,75221,79981,46403,4861102,3360586,30-10-2025
Pro,28331,36092,749880,258577,1013147,896749,1048415,759801,601668,723419,993311,507158,4013194,3603354,30-10-2025
TOTAL,294957,294957,7352879,7352879,4230409,3261187,4230409,3261187,2054063,1402840,2054063,1402840,18596335,18596335,30-10-2025
Client,170939,86744,2816064,301306,3381816,1903497,3342468,2362449,1580039,631042,1054878,928602,10483397,8076447,31-10-2025
DII,74823,35887,169528,4605700,1263,40027,0,0,0,10117,46630,38,295758,4688255,31-10-2025
FII,27954,146627,3649154,2261014,672848,599062,661992,358978,63852,92660,91797,53897,5105530,3574305,31-10-2025
Pro,37957,42415,802029,268755,1326494,1023790,1377961,844948,680337,814225,1130923,565507,4684832,4230509,31-10-2025
TOTAL,311673,311673,7436775,7436775,5382421,3566375,5382421,3566375,2324228,1548044,2324228,1548044,20569516,20569516,31-10-2025
Client,179540,86208,2832730,311855,3323142,2367559,3262502,2705328,1721386,687538,1138334,981170,11111895,8485398,03-11-2025
DII,75160,35621,173485,4606278,1263,40027,0,0,255,11427,85865,393,301617,4728157,03-11-2025
FII,28322,153149,3645001,2275219,618499,630742,608823,411798,73144,103571,105505,61658,5099279,3616152,03-11-2025
Pro,30122,38166,815617,273481,1208181,1074028,1279758,995231,743454,848091,1208535,607406,4719493,4402577,03-11-2025
TOTAL,313144,313144,7466833,7466833,5151084,4112357,5151084,4112357,2538239,1650627,2538239,1650627,21232284,21232284,03-11-2025
Client,187789,85044,2864664,306575,1840477,1291866,1774224,1720589,1934068,706128,1207449,1033636,8824992,6127517,04-11-2025
DII,74966,36928,179821,4576919,1263,38327,0,0,255,11427,114647,393,306059,4728887,04-11-2025
FII,29594,164812,3619752,2322585,353860,488825,342679,245663,78857,118364,110869,65836,4689251,3252444,04-11-2025
Pro,33161,38726,832855,291013,605110,768406,683805,621172,773996,902558,1354211,638612,3916085,3627539,04-11-2025
TOTAL,325510,325510,7497092,7497092,2800709,2587424,2800709,2587424,2787176,1738477,2787176,1738477,17736388,17736388,04-11-2025
Client,190648,90268,2891393,311650,2727006,1677581,2680574,2141664,2112713,731091,1294174,1069255,10330432,7587585,06-11-2025
DII,76147,36928,188929,4602829,1263,38327,0,0,0,11867,133561,419,316533,4773737,06-11-2025
FII,27572,165426,3633537,2346754,467761,572350,488093,328298,86422,133868,121472,73932,4921510,3523976,06-11-2025
Pro,35394,37139,854192,306818,959337,963224,986699,781520,818915,942359,1468843,675579,4573421,4256598,06-11-2025
TOTAL,329761,329761,7568051,7568051,4155366,3251482,4155366,3251482,3018050,1819185,3018050,1819185,20141896,20141896,06-11-2025
Client,197827,88732,2924316,313627,2786457,2266140,2801755,2668445,2210112,776637,1354935,1103251,11161489,8330745,07-11-2025
DII,76535,37594,195863,4623296,1381,20927,0,0,0,12479,155716,419,307185,4817025,07-11-2025
FII,27322,179413,3634807,2371712,538174,682286,526566,406619,92823,139763,128577,81281,5115176,3694168,07-11-2025
Pro,41354,37299,867149,313500,978694,1068297,976385,962586,867141,968954,1530848,712882,4791588,4533500,07-11-2025
TOTAL,343038,343038,7622135,7622135,4304706,4037650,4304706,4037650,3170076,1897833,3170076,1897833,21375438,21375438,07-11-2025
Client,197246,89039,2944984,315849,2997400,2650964,2946117,3008041,2324709,827921,1421837,1135837,11943224,8916720,10-11-2025
DII,76406,37594,202121,4661672,1381,21977,0,0,0,12973,170390,419,314858,4870075,10-11-2025
FII,27579,184286,3629666,2367656,552056,727079,563100,475501,99655,140367,137706,87188,5176402,3815437,10-11-2025
Pro,46583,36895,882488,314082,1083756,1166879,1125376,1083358,899062,993663,1593493,751480,5072432,4904683,10-11-2025
TOTAL,347814,347814,7659259,7659259,4634593,4566899,4634593,4566899,3323426,1974924,3323426,1974924,22506915,22506915,10-11-2025
Client,200297,87013,2952266,311404,1640551,1461037,1619817,1785872,2368631,855910,1465137,1156033,9478692,6425276,11-11-2025
DII,76435,37594,201688,4677248,1381,16977,0,0,0,13200,179734,419,309681,4894995,11-11-2025
FII,27151,186981,3623407,2365265,339473,511315,337637,287066,102731,146612,142833,89007,4750690,3408789,11-11-2025
Pro,44847,37142,898369,321813,579980,735400,603931,651791,939516,1011588,1623174,781851,4209699,4019702,11-11-2025
TOTAL,348730,348730,7675730,7675730,2561385,2724729,2561385,2724729,3410878,2027310,3410878,2027310,18748762,18748762,11-11-2025
Client,191487,87676,2934950,322474,1848418,2040248,1864821,2252093,2379383,935248,1502633,1186640,10329734,7216337,12-11-2025
DII,87516,37594,203264,4681045,2381,18677,0,0,1697,13273,184332,419,326808,4903390,12-11-2025
FII,25567,187807,3650380,2339303,396411,535568,381184,357460,106697,139604,144789,95235,4854227,3505779,12-11-2025
Pro,44004,35497,885762,331534,666973,855425,668178,840364,974949,1017554,1630972,823385,4444667,4329930,12-11-2025
TOTAL,348574,348574,7674356,7674356,2914183,3449917,2914183,3449917,3462726,2105679,3462726,2105679,19955435,19955435,12-11-2025
Client,182923,86004,2918992,332776,2148790,2018049,2099259,2279910,2450335,951843,1522109,1208401,10670932,7528460,13-11-2025
DII,87514,37594,207957,4661903,2381,39127,0,0,1697,13273,191258,419,351949,4891174,13-11-2025
FII,24542,184489,3642001,2317666,448538,615249,433371,395362,110601,146407,152612,104239,4987338,3587739,13-11-2025
Pro,48432,35324,877252,333857,744600,950395,811678,947547,985873,1046193,1682527,844657,4652744,4655590,13-11-2025
TOTAL,343411,343411,7646202,7646202,3344308,3622820,3344308,3622820,3548506,2157716,3548506,2157716,20662963,20662963,13-11-2025
Client,192042,85993,2946772,333607,2775008,2265318,2816933,2689526,2551717,973170,1563584,1242368,11704027,8732011,14-11-2025
DII,91529,37524,208766,4674539,2381,24427,0,0,1697,13273,197044,439,342073,4909546,14-11-2025
FII,24415,194034,3637417,2320732,573126,701210,552924,434520,112276,150914,160030,109146,5199358,3771386,14-11-2025
Pro,48971,39406,895576,359653,1066791,1101323,1047449,968231,1009839,1073019,1754871,858423,5195519,5028033,14-11-2025
TOTAL,356957,356957,7688531,7688531,4417306,4092277,4417306,4092277,3675529,2210376,3675529,2210376,22440976,22440976,14-11-2025
Client,193086,87158,2977915,339055,2767801,2941862,2806773,3226034,2606285,1029964,1603801,1273929,12516913,9336750,17-11-2025
DII,91204,37524,210192,4677748,2381,24427,0,0,1697,13273,206618,84,343174,4921974,17-11-2025
FII,26702,195987,3644935,2347324,563586,766693,532151,535731,115765,154233,164242,114027,5271914,3889462,17-11-2025
Pro,47270,37593,913265,382180,1004093,1205078,998937,1176295,1050008,1092947,1799094,902377,5312661,5296476,17-11-2025
TOTAL,358262,358262,7746307,7746307,4337861,4938060,4337861,4938060,3773755,2290417,3773755,2290417,23444662,23444662,17-11-2025
Client,193833,87462,3033851,343385,1821691,1596727,1794533,1950113,2695997,1010026,1628357,1299958,10352125,7103809,18-11-2025
DII,91296,37524,211833,4674304,2381,20463,0,0,1697,13273,216429,134,340943,4928391,18-11-2025
FII,27126,195915,3627794,2366650,357142,537393,370954,306592,114744,160303,163772,119048,4824502,3522930,18-11-2025
Pro,43567,34921,923624,412763,612105,779528,627832,677406,1072987,1130002,1876867,894464,4561813,4524253,18-11-2025
TOTAL,355822,355822,7797102,7797102,2793319,2934111,2793319,2934111,3885425,2313604,3885425,2313604,20079383,20079383,18-11-2025
Client,187008,86673,3030160,339932,1879741,2273053,1992659,2521304,2600823,1023004,1620722,1295026,10993789,7856316,19-11-2025
DII,91351,37799,215830,4664748,2381,20463,0,0,1697,13413,229286,298,345135,4932131,19-11-2025
FII,27153,194724,3646707,2372693,443524,602099,420996,445281,115320,157246,159229,116635,4992049,3709557,19-11-2025
Pro,43874,30190,933291,448615,711319,970644,623310,899675,1151503,1147516,1860106,929220,4958147,4791116,19-11-2025
TOTAL,349386,349386,7825988,7825988,3036965,3866260,3036965,3866260,3869343,2341179,3869343,2341179,21289120,21289120,19-11-2025
Client,170997,90618,3023300,317350,2011004,2767908,2116555,2991279,2427029,1001534,1555149,1264186,11401772,8335137,20-11-2025
DII,103487,37799,221459,4648909,2381,20627,0,0,1936,13731,229197,298,363621,4916203,20-11-2025
FII,27179,192744,3600024,2318684,514519,683292,457989,495912,111277,150602,147742,105655,5086892,3718726,20-11-2025
Pro,48781,29283,864959,424799,741485,1106300,694845,1090935,1147940,1120586,1756094,916314,5030051,4912270,20-11-2025
TOTAL,350444,350444,7709742,7709742,3269389,4578127,3269389,4578127,3688182,2286453,3688182,2286453,21882336,21882336,20-11-2025
Client,170477,94233,3048746,319069,2616443,2278261,2648023,2848611,2404744,916551,1526642,1235599,11435222,8672177,21-11-2025
DII,97696,37799,232387,4653984,2381,20811,0,0,1936,13731,218850,374,368942,4911007,21-11-2025
FII,25571,195418,3603690,2339167,584976,708500,541328,426215,102940,146850,138907,93930,5172527,3734965,21-11-2025
Pro,68372,34666,848531,421134,894792,1132673,909241,865419,1135668,1123316,1760889,870545,5203352,4861894,21-11-2025
TOTAL,362116,362116,7733354,7733354,4098592,4140245,4098592,4140245,3645288,2200448,3645288,2200448,22180043,22180043,21-11-2025
Client,173693,96331,3025221,317337,3249125,2152700,3157154,2789121,2190256,855945,1436348,1137703,11646940,8933994,24-11-2025
DII,79827,37719,243905,4706040,2381,21019,0,0,1936,14342,203595,454,363410,4947808,24-11-2025
FII,32966,194663,3648854,2299690,719953,745652,714873,456635,72229,101964,130105,80814,5321618,3876779,24-11-2025
Pro,78119,35892,843656,438569,1180491,1194479,1279923,868095,1105369,1091004,1599742,844284,5493118,5066505,24-11-2025
TOTAL,364605,364605,7761636,7761636,5151950,4113850,5151950,4113850,3369790,2063255,3369790,2063255,22825086,22825086,24-11-2025
Client,144135,84047,2869888,244252,1460624,1036432,1460985,1482422,989375,431152,657616,676375,6931605,4605697,25-11-2025
DII,78096,35595,155734,4593285,1950,23384,0,0,239,10341,13532,394,269744,4642806,25-11-2025
FII,20420,115109,3535070,2205449,289447,493176,341259,234926,15948,31437,34343,14713,4385498,2945799,25-11-2025
Pro,15551,23451,683815,201521,473262,602470,423038,438114,413810,570030,713881,351478,2758938,2151483,25-11-2025
TOTAL,258202,258202,7244507,7244507,2225282,2155462,2225282,2155462,1419372,1042960,1419372,1042960,14345785,14345785,25-11-2025
Client,145844,88576,2883375,255672,1587783,2211919,1786297,2379931,1076708,530467,833756,791133,8436096,6135365,26-11-2025
DII,78319,35595,160728,4619187,1950,26994,0,0,325,13396,17346,430,281712,4672558,26-11-2025
FII,23762,114509,3550169,2187178,398437,573151,376969,422100,29849,45118,54639,30427,4620485,3185822,26-11-2025
Pro,19037,28282,683243,215478,675975,968468,500877,978501,573305,674126,774446,441117,3594153,2938701,26-11-2025
TOTAL,266962,266962,7277515,7277515,2664144,3780532,2664144,3780532,1680187,1263107,1680187,1263107,16932447,16932447,26-11-2025
Client,148480,91315,2930244,262841,2089868,2342200,2274044,2617596,1243775,561640,938097,881799,9316207,7065691,27-11-2025
DII,78547,35595,169469,4621901,1950,27294,0,0,325,13696,30386,454,291281,4688336,27-11-2025
FII,25762,113025,3550551,2221384,449150,576487,426769,379691,38560,54498,71103,42950,4695007,3254922,27-11-2025
Pro,16201,29055,697032,241170,798391,939158,638546,887852,636065,764720,879139,469351,3851567,3145112,27-11-2025
TOTAL,268990,268990,7347296,7347296,3339359,3885138,3339359,3885138,1918725,1394554,1918725,1394554,18154062,18154062,27-11-2025
Client,147276,91569,2960250,267300,2410973,2531578,2481632,2864045,1366487,598139,1043688,944246,10014704,7692480,28-11-2025
DII,78657,35595,170853,4648267,1950,27294,0,0,325,14192,35118,462,293271,4719442,28-11-2025
FII,26170,113766,3552919,2226111,490310,685279,494561,434275,45031,62057,82335,50592,4861766,3401640,28-11-2025
Pro,16263,27436,709037,251381,840026,1053663,767065,999495,699189,821712,949891,500800,4139890,3496068,28-11-2025
TOTAL,268366,268366,7393059,7393059,3743258,4297815,3743258,4297815,2111032,1496100,2111032,1496100,19309630,19309630,28-11-2025
Client,149586,91538,2958563,273867,3089651,2439806,3050126,2871584,1496501,637680,1099623,997846,10771787,8384584,01-12-2025
DII,77545,35595,178772,4608153,1950,27294,0,0,325,14696,52474,462,300582,4696684,01-12-2025
FII,26360,113530,3560171,2240368,550277,712115,562864,446954,54512,72135,94874,62465,4975570,3521055,01-12-2025
Pro,20292,33120,718649,293767,1091480,1125497,1120366,986175,726235,869980,1030602,533718,4552132,3997748,01-12-2025
TOTAL,273783,273783,7416155,7416155,4733357,4304712,4733357,4304712,2277573,1594491,2277573,1594491,20600071,20600071,01-12-2025
Client,157724,82324,2951274,284381,1776948,1249298,1759058,1705374,1601127,656590,1144732,1031725,8392961,6007594,02-12-2025
DII,75174,40343,178154,4681914,2950,27294,0,0,475,14696,69826,612,298743,4792695,02-12-2025
FII,23308,123167,3578068,2206322,368902,550028,395432,284732,60185,79659,102300,68186,4660150,3180139,02-12-2025
Pro,24960,35332,728608,263487,594915,782549,589224,619063,747631,902708,1092560,553130,3781371,3152796,02-12-2025
TOTAL,281166,281166,7436104,7436104,2743714,2609169,2743714,2609169,2409418,1653653,2409418,1653653,17133224,17133224,02-12-2025
